step,timestamp,vehicle_count,cluster_count,noise_count,cluster_head_count,trusted_count,unknown_count,malicious_count,emergency_messages,delivered_messages,forwarded,duplicates,routing_hops,auth_success,auth_failures,pdr,avg_delay_ms,broadcast_overhead,ch_changes,throughput_kbps,auth_success_rate,avg_legitimate_trust,avg_malicious_trust,avg_cluster_lifetime,ch_change_rate,avg_intra_cluster_connectivity,cluster_stability_score,recluster_count,reclustering_skipped_count,bls_sign_time_ms,bls_individual_verify_time_ms,bls_batch_verify_time_ms,bls_batch_avg_size,bls_signature_size_bytes,bls_verifications_total,bls_batches_total,bls_auth_success,bls_auth_failures
51,1787553032.022925,127,21,22,21,3,124,0,1,0,4,14,10,0,0,0.0,0.0,4.0,102,0.0,100.0,0.61,0.6,8.17,0.0619,0.9672,0.9584,16,36,139.012,0.0,0.0,0.0,96,0,0,0,0
52,1787553032.055142,131,21,26,21,3,128,0,1,0,4,14,10,0,0,0.0,0.0,4.0,102,0.0,100.0,0.61,0.6,8.45,0.0619,0.9486,0.9454,16,37,139.012,0.0,0.0,0.0,96,0,0,0,0
53,1787553032.1444175,132,20,8,20,3,129,0,1,0,4,14,10,0,0,0.0,0.0,4.0,121,0.0,100.0,0.61,0.6,7.98,0.1,0.9377,0.9264,17,37,139.012,0.0,0.0,0.0,96,0,0,0,0
54,1787553032.177695,135,20,11,20,3,132,0,1,0,4,14,10,0,0,0.0,0.0,4.0,121,0.0,100.0,0.61,0.6,8.22,0.1,0.9366,0.9256,17,38,139.012,0.0,0.0,0.0,96,0,0,0,0
55,1787553032.2118363,138,20,14,20,3,135,0,1,0,4,14,10,0,0,0.0,0.0,4.0,121,0.0,100.0,0.61,0.6,8.46,0.1,0.9303,0.9212,17,39,139.012,0.0,0.0,0.0,96,0,0,0,0
56,1787553032.2477217,140,20,16,20,3,137,0,1,0,4,14,10,0,0,0.0,0.0,4.0,121,0.0,100.0,0.61,0.6,8.7,0.1,0.9269,0.9188,17,40,139.012,0.0,0.0,0.0,96,0,0,0,0
57,1787553032.282424,142,20,18,20,3,139,0,1,0,4,14,10,0,0,0.0,0.0,4.0,121,0.0,100.0,0.61,0.6,8.94,0.1,0.8907,0.8935,17,41,139.012,0.0,0.0,0.0,96,0,0,0,0
58,1787553032.3836164,145,20,5,20,3,142,0,1,0,4,14,10,0,0,0.0,0.0,4.0,139,0.0,100.0,0.61,0.6,7.86,0.055,0.9172,0.9255,18,41,139.012,0.0,0.0,0.0,96,0,0,0,0
59,1787553032.4216893,147,20,7,20,3,144,0,1,0,4,14,10,0,0,0.0,0.0,4.0,139,0.0,100.0,0.61,0.6,8.06,0.055,0.916,0.9247,18,42,139.012,0.0,0.0,0.0,96,0,0,0,0
60,1787553032.460609,150,20,10,20,3,147,0,1,0,4,14,10,0,0,0.0,0.0,4.0,139,0.0,100.0,0.61,0.6,8.27,0.055,0.9107,0.921,18,43,139.012,0.0,0.0,0.0,96,0,0,0,0
61,1787553032.4979656,151,20,11,20,3,148,0,1,0,4,14,10,0,0,0.0,0.0,4.0,139,0.0,100.0,0.61,0.6,8.47,0.055,0.9036,0.916,18,44,139.012,0.0,0.0,0.0,96,0,0,0,0
62,1787553032.5353608,154,20,14,20,3,151,0,1,0,4,14,10,0,0,0.0,0.0,4.0,139,0.0,100.0,0.61,0.6,8.68,0.055,0.896,0.9107,18,45,139.012,0.0,0.0,0.0,96,0,0,0,0
63,1787553032.6588516,154,22,5,22,3,151,0,1,0,4,14,10,0,0,0.0,0.0,4.0,157,0.0,100.0,0.61,0.6,8.07,0.0318,0.9724,0.9711,19,45,139.012,0.0,0.0,0.0,96,0,0,0,0
64,1787553032.6997445,157,22,8,22,3,154,0,1,0,4,14,10,0,0,0.0,0.0,4.0,157,0.0,100.0,0.61,0.6,8.28,0.0318,0.9744,0.9725,19,46,139.012,0.0,0.0,0.0,96,0,0,0,0
65,1787553032.7412944,159,22,10,22,3,156,0,1,0,4,14,10,0,0,0.0,0.0,4.0,157,0.0,100.0,0.61,0.6,8.49,0.0318,0.9759,0.9736,19,47,139.012,0.0,0.0,0.0,96,0,0,0,0
